annee,auteur_affil,isn,langue,m_coll_auteur,m_lieu_edition,m_titre_orig,projet_develop,resume,titre,source,feuille
2010.0,INAT,14184,(FR),INAT,Tunis,Identification et Description pomologique et phénologique des variétés de Citrus en Tunisie\n,,,Identification et Description pomologique et phénologique des variétés de Citrus en Tunisie\n,CD:585*ONAGRI,Feuil1
2011.0,INAT,14144,(FR),INAT,Tunis,Impact des performances de production sur la reproduction des vaches Holstein en Tunisie\n,,,Impact des performances de production sur la reproduction des vaches Holstein en Tunisie\n,CD:445*ONAGRI,Feuil1
2001.0,MIN. AGR.,10923,(Ar),MIN. AGR.,Tunis,ÎØÉ ÊæÌíå ÇáÇäÊÇÌ ÇáÝáÇÍí                                            [ Plan d'orientation de la production agricole],,/DOCUMENT TECHNIQUE//POLITIQUE AGRICOLE//PRODUCTION AGRICOLE/,ÎØÉ ÊæÌíå ÇáÇäÊÇÌ ÇáÝáÇÍí                                            [ Plan d'orientation de la production agricole],http://www.onagri.tn/uploads/docagri/10923.pdf,Feuil1
1998.0,,12161,(FR),IRESA,Tunis,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,/DOCUMENT DE REUNION//FERTILISATION//PENNISETUM/ THYPHOIDES /AZOTE//PHOSPHATE//POTASSIUM/ MIL /CROISSANCE VEGETALE/,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,Feuil1
1998.0,,12162,(FR),IRESA,Tunis,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,/DOCUMENT DE REUNION//PIMENT//TOMATE//SOLANACEE//HAPLOIDIE//CAPSICUM ANNUUM//CROISSANCE VEGETALE/,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,Feuil1
1998.0,,12163,(FR),IRESA,Tunis,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,/DOCUMENT DE REUNION//TOMATE//CULTURE ABRITEE//GEOTHERMIE//IRRIGATION/,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,Feuil1
1998.0,,12164,(AR),IRESA,Tunis,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,/DOCUMENT DE REUNION//PIMENT//CULTURE ABRITEE//VARIETE/ LOCALES /POLLINISATION/ PARTHNOCARPIE /LIGNEE/,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,Feuil1
2008.0,,12165,(FR),IRESA,Tunis,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,/DOCUMENT DE REUNION//PIMENT//CAPSICUM ANNUUM//GENOTYPE//REGENERATION ARTIFICIELLE//RESISTANCE A LA MALADIE//SELECTION VEGETALE/,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,Feuil1
2008.0,,12166,(FR),IRESA,Tunis,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,/DOCUMENT DE REUNION//OLIVIER//RAMIFICATION//CROISSANCE VEGETALE//ECOTYPE/,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,Feuil1
1998.0,,12168,(FR),IRESA,Tunis,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,/DOCUMENT DE REUNION//OLIVIER//OLEA EUROPEA VAR. OLEASTER//CROISSANCE VEGETALE//FEUILLE//ENRACINEMENT/,Les acquis de la recherche agricole  - actes des 5èmes journées nationales Nabeul 3 et 4 Décembre 1998,,Feuil1
