nbr,inv,emp,gouv,delegation,annee_doa,feuille
19,9424550,26,نابل,بني خلاد,2014,SQL Results
16,11023556,29,نابل,بني خيار,2014,SQL Results
4,5977000,7,المهدية,بو مرداس,2014,SQL Results
35,2649855,40,جندوبة,بوسا لم,2014,SQL Results
8,6000000,11,سليانة,بوعرادة,2014,SQL Results
22,50305640,38,نابل,بوعرقوب,2014,SQL Results
3,263000,3,سوسة,بوفيشة,2014,SQL Results
1,205000,1,بن عروس,بومهل البساتين,2014,SQL Results
11,655118,11,القصرين,تا لة,2014,SQL Results
12,5409168,12,الكاف,تاجروين,2014,SQL Results
16,1949168,41,نابل,تاكلسة,2014,SQL Results
22,13972539,27,باجة,تبرسق,2014,SQL Results
20,13281612,24,باجة,تستور,2014,SQL Results
1,57830,1,تطاوين,تطاوين الجنوبية,2014,SQL Results
21,4233461,33,تطاوين,تطاوين الشما لية,2014,SQL Results
6,361887,4,توزر,توزر,2014,SQL Results
2,135700,2,باجة,تيبار,2014,SQL Results
1,16000,2,بنزرت,تينجة,2014,SQL Results
4,170274,4,صفاقس,جبنيانة,2014,SQL Results
7,496261,8,القصرين,جدليان,2014,SQL Results
38,10923315,95,مدنين,جرجيس,2014,SQL Results
3,369000,23,بنزرت,جرزونة,2014,SQL Results
40,12653400,38,سيدي بوزيد,جلمة,2014,SQL Results
3,413500,2,المنستير,جمال,2014,SQL Results
40,3408816,42,جندوبة,جندوبة,2014,SQL Results
18,1379373,19,جندوبة,جندوبة الشما لية,2014,SQL Results
23,11442060,30,بنزرت,جومين,2014,SQL Results
22,2612000,30,القيروان,حاجب العيون,2014,SQL Results
2,78187,2,القصرين,حاسي الفريد,2014,SQL Results
1,92750,1,توزر,حزوة,2014,SQL Results
13,1505000,20,القيروان,حفوز,2014,SQL Results
11,2153015,20,تــونس,حلق الوادي,2014,SQL Results
2,320000,3,بن عروس,حمام الأنف,2014,SQL Results
1,59000,1,سوسة,حمام سوسة,2014,SQL Results
4,485490,4,مدنين,حومة السوق,2014,SQL Results
3,63435,2,القصرين,حيدرة,2014,SQL Results
15,7662830,26,نابل,دار شعبان الفهري,2014,SQL Results
3,222149,2,توزر,دقاش,2014,SQL Results
15,2290940,20,قبلي,دوز الجنوبية,2014,SQL Results
13,8196876,16,قبلي,دوز الشما لية,2014,SQL Results
6,3618678,10,بنزرت,راس الجبل,2014,SQL Results
13,2131768,35,تطاوين,رمادة,2014,SQL Results
3,234400,5,المنستير,زرمدين,2014,SQL Results
30,58575746,61,زغوان,زغوان,2014,SQL Results
4,6567631,7,صفاقس,ساقية الدائر,2014,SQL Results
17,807500,17,الكاف,ساقية سيدي يوسف,2014,SQL Results
19,5418827,22,سيدي بوزيد,سبا لة أولاد عسكر,2014,SQL Results
67,13227939,83,القصرين,سبيبة,2014,SQL Results
75,50349917,101,القصرين,سبيطلة,2014,SQL Results
9,417103,9,بنزرت,سجنان,2014,SQL Results
1,61200,2,أريانة,سكرة,2014,SQL Results
6,433926,6,نابل,سليمان,2014,SQL Results
2,168000,5,سوسة,سوسة المدينة,2014,SQL Results
9,2562576,14,قبلي,سوق الأحد,2014,SQL Results
17,1316079,19,سيدي بوزيد,سوق الجديد,2014,SQL Results
4,275000,4,سوسة,سيدي الهاني,2014,SQL Results
43,4796833,46,سيدي بوزيد,سيدي بوزيد الشرقية,2014,SQL Results
22,1291951,22,سيدي بوزيد,سيدي بوزيد الغربية,2014,SQL Results
1,102000,1,سوسة,سيدي بوعلي,2014,SQL Results
9,32134900,89,أريانة,سيدي ثابت,2014,SQL Results
1,51000,1,تــونس,سيدي حسين,2014,SQL Results
1,47000,1,سوسة,سيدي عبد الحميد,2014,SQL Results
2,100000,2,المهدية,سيدي علوان,2014,SQL Results
30,4763825,31,سيدي بوزيد,سيدي علي بن عون,2014,SQL Results
32,166465000,84,القيروان,سيدي علي نصرالله,2014,SQL Results
27,1176000,27,القيروان,سيدي عمر بوحجلة,2014,SQL Results
22,2925949,45,قفصة,سيدي عيش,2014,SQL Results
6,276302,7,مدنين,سيدي مخلوف,2014,SQL Results
7,459000,7,المهدية,شربان,2014,SQL Results
14,17611600,40,صفاقس,صفاقس الجنوبية,2014,SQL Results
16,4556087,34,صفاقس,صفاقس المدينة,2014,SQL Results
3,34800000,10,زغوان,صواف,2014,SQL Results
4,826000,18,المنستير,صيادة لمطة بوحجر,2014,SQL Results
20,11405930,28,منــوبة,طبربة,2014,SQL Results
8,724986,9,جندوبة,طبرقة,2014,SQL Results
53,74230600,128,المنستير,طبلبة,2014,SQL Results
4,204530,4,صفاقس,عقارب,2014,SQL Results
10,1064708,11,باجة,عمدون,2014,SQL Results
6,248559,6,جندوبة,عين دراهم,2014,SQL Results
21,71676000,34,بنزرت,غار الملح,2014,SQL Results
15,622389,15,جندوبة,غارالدماء,2014,SQL Results
5,829873,13,تطاوين,غمراسن,2014,SQL Results
3,236390,3,قابس,غنوش,2014,SQL Results
23,984039,23,جندوبة,فرنانة,2014,SQL Results
22,1977499,34,القصرين,فريانة,2014,SQL Results
116,9957838,151,القصرين,فوسانة,2014,SQL Results
1,9000,1,بن عروس,فوشانة,2014,SQL Results
10,847202,14,قابس,قابس الجنوبية,2014,SQL Results
6,1235449,10,قابس,قابس الغربية,2014,SQL Results
4,890594,30,قابس,قابس المدينة,2014,SQL Results
19,26204896,25,باجة,قبلاط,2014,SQL Results
21,2493131,28,قبلي,قبلي الجنوبية,2014,SQL Results
8,566920,8,قبلي,قبلي الشما لية,2014,SQL Results
18,5359617,31,نابل,قربة,2014,SQL Results
13,500262,13,صفاقس,قرقنة,2014,SQL Results
6,393338,8,نابل,قرمبا لية,2014,SQL Results
19,24206000,31,المهدية,قصور الساف,2014,SQL Results
2,25000,1,المنستير,قصيبة المديوني,2014,SQL Results
8,3031000,11,سليانة,قعفور,2014,SQL Results
21,2066639,33,قفصة,قفصة الجنوبية,2014,SQL Results
30,3243910,49,قفصة,قفصة الشما لية,2014,SQL Results
13,5872535,22,أريانة,قلعة الأندلس,2014,SQL Results
7,216656,7,الكاف,قلعة الخصبة,2014,SQL Results
4,70300,4,الكاف,قلعة سنان,2014,SQL Results
8,4646595,50,نابل,قليبية,2014,SQL Results
1,55000,1,سوسة,كندار,2014,SQL Results
16,899204,18,القصرين,ماجل با لعباس,2014,SQL Results
19,6839822,17,قابس,مارث,2014,SQL Results
29,22924743,38,بنزرت,ماطر,2014,SQL Results
60,103142098,87,باجة,مجاز الباب,2014,SQL Results
15,1265659,24,مدنين,مدنين الجنوبية,2014,SQL Results
10,748102,13,مدنين,مدنين الشما لية,2014,SQL Results
68,13815300,114,بن عروس,مرناق,2014,SQL Results
13,4751000,22,سوسة,مساكن,2014,SQL Results
1,59138,1,قابس,مطماطة,2014,SQL Results
7,324190,7,قابس,مطماطة الجديدة,2014,SQL Results
6,697000,6,المهدية,ملولش,2014,SQL Results
2,281198,3,قابس,منزل الحبيب,2014,SQL Results
11,1047000,17,بنزرت,منزل بورقيبة,2014,SQL Results
23,8906438,39,نابل,منزل بوزلفة,2014,SQL Results
6,499679,6,سيدي بوزيد,منزل بوزيان,2014,SQL Results
5,419388,6,نابل,منزل تميم,2014,SQL Results
5,637000,10,بنزرت,منزل جميل,2014,SQL Results
24,15938964,38,صفاقس,منزل شاكر,2014,SQL Results
1,346000,2,منــوبة,منوبة,2014,SQL Results
2,92300,2,مدنين,ميدون,2014,SQL Results
2,14808,2,نابل,نابل,2014,SQL Results
21,1409921,21,الكاف,نبر,2014,SQL Results
5,446682,6,باجة,نفزة,2014,SQL Results
17,2757296,15,توزر,نفطة,2014,SQL Results
12,735000,12,المهدية,هبيرة,2014,SQL Results
6,4440000,0,سوسة,هرقلة,2014,SQL Results
6,1752500,11,منــوبة,واد الليل,2014,SQL Results
16,3507856,23,جندوبة,واد مليز,2014,SQL Results
14,5170581,21,زغوان,الفحص,2015,SQL Results
3,95300,2,مدنين,أجيم,2015,SQL Results
5,10620000,8,سوسة,أكودة,2015,SQL Results
30,6886118,41,قفصة,أم  العرائس,2015,SQL Results
37,9059114,52,بنزرت,أوتيك,2015,SQL Results
6,395000,7,المهدية,أولاد الشامخ,2015,SQL Results
39,4245915,44,سيدي بوزيد,أولاد حفوز,2015,SQL Results
7,972998,8,تطاوين,البئر الأحمر,2015,SQL Results
4,262212,8,منــوبة,البطان,2015,SQL Results
18,2413900,6,المنستير,البقا لطة,2015,SQL Results
26,11409345,45,منــوبة,الجديدة,2015,SQL Results
4,276485,5,الكاف,الجريصة,2015,SQL Results
10,769000,11,المهدية,الجم,2015,SQL Results
7,23136618,50,قابس,الحامة,2015,SQL Results
17,4201192,18,نابل,الحمامات,2015,SQL Results
6,490538,6,صفاقس,الحنشة,2015,SQL Results
16,1108766,23,الكاف,الدهماني,2015,SQL Results
3,559995,4,تطاوين,الذهيبة,2015,SQL Results
5,326000,5,قفصة,الرديف,2015,SQL Results
164,33054780,208,سيدي بوزيد,الرقاب,2015,SQL Results
4,273000,6,سليانة,الروحية,2015,SQL Results
17,11265000,1,زغوان,الزريبة,2015,SQL Results
1,55000,1,بن عروس,الزهراء,2015,SQL Results
5,776800,2,المنستير,الساحلين,2015,SQL Results
25,1523000,27,القيروان,السبيخة,2015,SQL Results
31,4097046,38,الكاف,السرس,2015,SQL Results
51,6353711,77,قفصة,السند,2015,SQL Results
5,617000,5,المهدية,السواسي,2015,SQL Results
2,205400,2,تــونس,السيجومي,2015,SQL Results
23,59771000,86,المهدية,الشابة,2015,SQL Results
30,3860000,36,القيروان,الشبيكة,2015,SQL Results
21,1444000,23,القيروان,الشراردة,2015,SQL Results
18,2174168,20,صفاقس,الصخيرة,2015,SQL Results
11,1790043,25,تطاوين,الصمّار,2015,SQL Results
8,1348000,15,بنزرت,العا لية,2015,SQL Results
7,273023,7,صفاقس,العامرة,2015,SQL Results
5,239000,5,القيروان,العلا,2015,SQL Results
16,1023300,19,القصرين,العيون,2015,SQL Results
11,616415,11,صفاقس,الغريبة,2015,SQL Results
9,609500,9,بنزرت,الغزالة,2015,SQL Results
28,2024926,28,قبلي,الفوار,2015,SQL Results
8,450860,9,قفصة,القصر,2015,SQL Results
40,1951733,48,القصرين,القصرين الجنوبية,2015,SQL Results
1,28088,1,القصرين,القصرين الشما لية,2015,SQL Results
12,773479,12,الكاف,القصور,2015,SQL Results
1,50000,1,سوسة,القصيبة الزاوية الثريات,2015,SQL Results
4,184555,4,قفصة,القطار,2015,SQL Results
6,718000,7,سوسة,القلعة الصغرى,2015,SQL Results
11,839000,12,سوسة,القلعة الكبرى,2015,SQL Results
20,16685000,32,القيروان,القيروان الجنوبية,2015,SQL Results
10,3907000,15,القيروان,القيروان الشما لية,2015,SQL Results
9,641245,11,الكاف,الكاف الشرقية,2015,SQL Results
5,317480,5,الكاف,الكاف الغربية,2015,SQL Results
3,548000,5,سليانة,الكريب,2015,SQL Results
1,111300,1,قفصة,المتلوي,2015,SQL Results
4,194016,4,صفاقس,المحرس,2015,SQL Results
5,2514000,17,بن عروس,المحمدية,2015,SQL Results
5,936000,7,تــونس,المرسى,2015,SQL Results
11,1893058,13,سيدي بوزيد,المزونة,2015,SQL Results
10,1867094,14,قابس,المطوية,2015,SQL Results
18,1863964,19,سيدي بوزيد,المكناسي,2015,SQL Results
15,72987800,46,المنستير,المكنين,2015,SQL Results
1,68500,1,تــونس,المنزه,2015,SQL Results
20,3065500,6,المنستير,المنستير,2015,SQL Results
8,1375000,9,المهدية,المهدية,2015,SQL Results
14,674788,14,نابل,الميدة,2015,SQL Results
1,221005,1,زغوان,الناظور,2015,SQL Results
7,456000,8,سوسة,النفيضة,2015,SQL Results
19,1756313,46,نابل,الهوارية,2015,SQL Results
1,44500,1,المنستير,الوردانين,2015,SQL Results
10,433000,10,القيروان,الوسلاتية,2015,SQL Results
32,3220769,37,سيدي بوزيد,بئر الحفي,2015,SQL Results
11,1789195,20,صفاقس,بئر علي بن خليفة,2015,SQL Results
9,12855311,21,زغوان,بئر مشارقة,2015,SQL Results
20,2074126,18,باجة,باجة الجنوبية,2015,SQL Results
13,1447304,14,باجة,باجة الشما لية,2015,SQL Results
24,25178997,60,منــوبة,برج العامري,2015,SQL Results
8,483612,9,قفصة,بلخير,2015,SQL Results
15,2929924,16,جندوبة,بلطة بوعوان,2015,SQL Results
3,8322000,21,بن عروس,بن عروس,2015,SQL Results
16,4668678,27,مدنين,بن قردان,2015,SQL Results
22,2525917,26,بنزرت,بنزرت الجنوبية,2015,SQL Results
3,121472,4,بنزرت,بنزرت الشما لية,2015,SQL Results
3,430900,3,المنستير,بني حسان,2015,SQL Results
6,1101916,17,مدنين,بني خداش,2015,SQL Results
15,12827237,16,نابل,بني خلاد,2015,SQL Results
36,76488863,66,نابل,بني خيار,2015,SQL Results
6,587000,9,المهدية,بو مرداس,2015,SQL Results
31,2877208,35,جندوبة,بوسا لم,2015,SQL Results
3,1068000,3,سليانة,بوعرادة,2015,SQL Results
13,612391,12,نابل,بوعرقوب,2015,SQL Results
5,554000,6,سوسة,بوفيشة,2015,SQL Results
6,982600,13,بن عروس,بومهل البساتين,2015,SQL Results
23,1497756,24,القصرين,تا لة,2015,SQL Results
6,377556,7,الكاف,تاجروين,2015,SQL Results
18,1244087,22,نابل,تاكلسة,2015,SQL Results
14,2174387,15,باجة,تبرسق,2015,SQL Results
24,182814975,42,باجة,تستور,2015,SQL Results
5,814746,9,تطاوين,تطاوين الجنوبية,2015,SQL Results
24,3593033,36,تطاوين,تطاوين الشما لية,2015,SQL Results
5,266295,5,توزر,تمغزة,2015,SQL Results
9,391932,3,توزر,توزر,2015,SQL Results
3,278040,4,باجة,تيبار,2015,SQL Results
3,13140000,5,بنزرت,تينجة,2015,SQL Results
8,327361,8,صفاقس,جبنيانة,2015,SQL Results
7,340693,7,القصرين,جدليان,2015,SQL Results
24,4083519,68,مدنين,جرجيس,2015,SQL Results
21,6097955,119,بنزرت,جرزونة,2015,SQL Results
16,1024531,18,سيدي بوزيد,جلمة,2015,SQL Results
3,28900,2,المنستير,جمال,2015,SQL Results
29,1580125,30,جندوبة,جندوبة,2015,SQL Results
14,699095,14,جندوبة,جندوبة الشما لية,2015,SQL Results
7,782000,7,بنزرت,جومين,2015,SQL Results
20,2347000,35,القيروان,حاجب العيون,2015,SQL Results
15,745950,16,القصرين,حاسي الفريد,2015,SQL Results
2,65284,2,توزر,حزوة,2015,SQL Results
8,623000,10,القيروان,حفوز,2015,SQL Results
8,1282802,30,تــونس,حلق الوادي,2015,SQL Results
1,8000,1,بن عروس,حما م الشط,2015,SQL Results
2,89732,2,نابل,حمام الغزاز,2015,SQL Results
2,156500,2,سوسة,حمام سوسة,2015,SQL Results
4,292125,8,مدنين,حومة السوق,2015,SQL Results
1,45000,1,تــونس,حي التحرير,2015,SQL Results
1,57900,1,تــونس,حي الخضراء,2015,SQL Results
4,229757,6,القصرين,حيدرة,2015,SQL Results
7,481214,9,نابل,دار شعبان الفهري,2015,SQL Results
17,3308693,23,توزر,دقاش,2015,SQL Results
7,475746,7,قبلي,دوز الجنوبية,2015,SQL Results
14,3533187,16,قبلي,دوز الشما لية,2015,SQL Results
3,151000,3,بن عروس,رادس,2015,SQL Results
1,45000,1,بنزرت,راس الجبل,2015,SQL Results
10,1447012,14,تطاوين,رمادة,2015,SQL Results
1,78000,1,أريانة,رواد,2015,SQL Results
1,82500,1,المنستير,زرمدين,2015,SQL Results
30,21466940,45,زغوان,زغوان,2015,SQL Results
9,3923168,14,صفاقس,ساقية الدائر,2015,SQL Results
2,770000,7,صفاقس,ساقية الزيت,2015,SQL Results
15,500971,15,الكاف,ساقية سيدي يوسف,2015,SQL Results
7,701682,8,سيدي بوزيد,سبا لة أولاد عسكر,2015,SQL Results
56,5837575,71,القصرين,سبيبة,2015,SQL Results
140,12766471,188,القصرين,سبيطلة,2015,SQL Results
11,630889,12,بنزرت,سجنان,2015,SQL Results
1,214000,2,سليانة,سليانة الجنوبية,2015,SQL Results
3,353000,4,سليانة,سليانة الشما لية,2015,SQL Results
7,234559,7,نابل,سليمان,2015,SQL Results
1,70000,3,سوسة,سوسة المدينة,2015,SQL Results
15,1121301,15,قبلي,سوق الأحد,2015,SQL Results
16,1768762,16,سيدي بوزيد,سوق الجديد,2015,SQL Results
4,226500,4,سوسة,سيدي الهاني,2015,SQL Results
27,2383410,27,سيدي بوزيد,سيدي بوزيد الشرقية,2015,SQL Results
28,1642029,29,سيدي بوزيد,سيدي بوزيد الغربية,2015,SQL Results
13,1813570,18,أريانة,سيدي ثابت,2015,SQL Results
2,55800,2,تــونس,سيدي حسين,2015,SQL Results
5,285000,5,المهدية,سيدي علوان,2015,SQL Results
20,2904361,21,سيدي بوزيد,سيدي علي بن عون,2015,SQL Results
6,289000,6,القيروان,سيدي علي نصرالله,2015,SQL Results
38,7366000,52,القيروان,سيدي عمر بوحجلة,2015,SQL Results
36,22899758,90,قفصة,سيدي عيش,2015,SQL Results
8,483118,10,مدنين,سيدي مخلوف,2015,SQL Results
13,2474000,20,المهدية,شربان,2015,SQL Results
3,137754,3,صفاقس,صفاقس الجنوبية,2015,SQL Results
25,34762213,161,صفاقس,صفاقس المدينة,2015,SQL Results
5,12785000,16,زغوان,صواف,2015,SQL Results
11,1538500,43,المنستير,صيادة لمطة بوحجر,2015,SQL Results
18,161607492,69,منــوبة,طبربة,2015,SQL Results
13,903853,13,جندوبة,طبرقة,2015,SQL Results
57,46143200,126,المنستير,طبلبة,2015,SQL Results
1,40741,1,صفاقس,طينة,2015,SQL Results
9,1566303,10,صفاقس,عقارب,2015,SQL Results
9,1064704,9,باجة,عمدون,2015,SQL Results
5,197888,5,جندوبة,عين دراهم,2015,SQL Results
6,282078,18,بنزرت,غار الملح,2015,SQL Results
14,553161,14,جندوبة,غارالدماء,2015,SQL Results
14,2362863,19,تطاوين,غمراسن,2015,SQL Results
5,242376,5,قابس,غنوش,2015,SQL Results
8,517229,8,جندوبة,فرنانة,2015,SQL Results
18,1519471,30,القصرين,فريانة,2015,SQL Results
159,7153314,189,القصرين,فوسانة,2015,SQL Results
20,7359094,22,قابس,قابس الجنوبية,2015,SQL Results
11,1092362,29,قابس,قابس المدينة,2015,SQL Results
14,3057145,19,باجة,قبلاط,2015,SQL Results
10,814811,12,قبلي,قبلي الجنوبية,2015,SQL Results
8,655224,8,قبلي,قبلي الشما لية,2015,SQL Results
43,42308634,79,نابل,قربة,2015,SQL Results
5,190644,5,صفاقس,قرقنة,2015,SQL Results
34,20978519,110,نابل,قرمبا لية,2015,SQL Results
12,7189000,26,المهدية,قصور الساف,2015,SQL Results
2,113800,2,المنستير,قصيبة المديوني,2015,SQL Results
3,309000,5,سليانة,قعفور,2015,SQL Results
26,4888954,45,قفصة,قفصة الجنوبية,2015,SQL Results
32,7201222,57,قفصة,قفصة الشما لية,2015,SQL Results
16,1549485,14,أريانة,قلعة الأندلس,2015,SQL Results
6,392045,7,الكاف,قلعة الخصبة,2015,SQL Results
13,1564804,35,نابل,قليبية,2015,SQL Results
1,400000,2,سليانة,كسرى,2015,SQL Results
1,69000,1,سوسة,كندار,2015,SQL Results
24,1697227,36,القصرين,ماجل با لعباس,2015,SQL Results
9,944733,13,قابس,مارث,2015,SQL Results
22,6926000,38,بنزرت,ماطر,2015,SQL Results
26,3637953,28,باجة,مجاز الباب,2015,SQL Results
10,1038457,13,مدنين,مدنين الجنوبية,2015,SQL Results
9,401409,8,مدنين,مدنين الشما لية,2015,SQL Results
68,11961300,81,بن عروس,مرناق,2015,SQL Results
5,381000,7,سوسة,مساكن,2015,SQL Results
1,292000,2,قابس,مطماطة,2015,SQL Results
7,2883917,9,قابس,مطماطة الجديدة,2015,SQL Results
2,480000,2,سليانة,مكثر,2015,SQL Results
6,313000,6,المهدية,ملولش,2015,SQL Results
9,879000,11,بنزرت,منزل بورقيبة,2015,SQL Results
16,3656033,18,نابل,منزل بوزلفة,2015,SQL Results
27,4204785,37,سيدي بوزيد,منزل بوزيان,2015,SQL Results
13,9716529,23,نابل,منزل تميم,2015,SQL Results
4,358150,12,بنزرت,منزل جميل,2015,SQL Results
18,2908397,19,صفاقس,منزل شاكر,2015,SQL Results
4,122800,4,مدنين,ميدون,2015,SQL Results
4,187185,4,نابل,نابل,2015,SQL Results
19,2100191,18,الكاف,نبر,2015,SQL Results
3,232134,3,باجة,نفزة,2015,SQL Results
10,5969403,15,توزر,نفطة,2015,SQL Results
13,1587000,15,المهدية,هبيرة,2015,SQL Results
1,48000,1,سوسة,هرقلة,2015,SQL Results
4,372368,5,منــوبة,واد الليل,2015,SQL Results
29,10222725,38,جندوبة,واد مليز,2015,SQL Results
27,210453439,83,زغوان,الفحص,2016,SQL Results
1,30880,1,مدنين,أجيم,2016,SQL Results
2,352000,6,أريانة,أريانة المدينة,2016,SQL Results
3,127000,3,سوسة,أكودة,2016,SQL Results
21,1899213,25,قفصة,أم  العرائس,2016,SQL Results
21,3369000,38,بنزرت,أوتيك,2016,SQL Results
9,1012000,10,المهدية,أولاد الشامخ,2016,SQL Results
25,51604902,35,سيدي بوزيد,أولاد حفوز,2016,SQL Results
2,439100,9,تطاوين,البئر الأحمر,2016,SQL Results
12,11857436,15,منــوبة,البطان,2016,SQL Results
24,21783350,14,المنستير,البقا لطة,2016,SQL Results
8,602027,8,منــوبة,الجديدة,2016,SQL Results
4,93648,4,الكاف,الجريصة,2016,SQL Results
15,3749000,20,المهدية,الجم,2016,SQL Results
21,35530449,21,قابس,الحامة,2016,SQL Results
2,379080,2,تــونس,الحرايرية,2016,SQL Results
3,334919,6,نابل,الحمامات,2016,SQL Results
3,232429,3,صفاقس,الحنشة,2016,SQL Results
24,1279425,32,الكاف,الدهماني,2016,SQL Results
3,423275,4,تطاوين,الذهيبة,2016,SQL Results
4,416230,7,قفصة,الرديف,2016,SQL Results
106,22360157,134,سيدي بوزيد,الرقاب,2016,SQL Results
3,29031,3,سليانة,الروحية,2016,SQL Results
8,3297923,9,زغوان,الزريبة,2016,SQL Results
1,46700,1,تــونس,الزهور,2016,SQL Results
2,131000,2,المنستير,الساحلين,2016,SQL Results
17,1446000,22,القيروان,السبيخة,2016,SQL Results
10,355449,12,الكاف,السرس,2016,SQL Results
48,5872281,72,قفصة,السند,2016,SQL Results
14,2889000,19,المهدية,السواسي,2016,SQL Results
22,5798500,65,المهدية,الشابة,2016,SQL Results
22,4815000,25,القيروان,الشبيكة,2016,SQL Results
18,1223000,19,القيروان,الشراردة,2016,SQL Results
17,1978131,15,صفاقس,الصخيرة,2016,SQL Results
12,7722526,16,تطاوين,الصمّار,2016,SQL Results
11,2767065,15,بنزرت,العا لية,2016,SQL Results
4,503348,4,صفاقس,العامرة,2016,SQL Results
7,5914000,7,سليانة,العروسة,2016,SQL Results
7,798000,9,القيروان,العلا,2016,SQL Results
19,1311908,28,القصرين,العيون,2016,SQL Results
11,588346,11,صفاقس,الغريبة,2016,SQL Results
12,5151000,20,بنزرت,الغزالة,2016,SQL Results
11,882293,11,قبلي,الفوار,2016,SQL Results
7,543050,11,قفصة,القصر,2016,SQL Results
45,2843111,65,القصرين,القصرين الجنوبية,2016,SQL Results
14,482115,17,الكاف,القصور,2016,SQL Results
1,52000,1,سوسة,القصيبة الزاوية الثريات,2016,SQL Results
2,224100,4,قفصة,القطار,2016,SQL Results
3,481500,4,سوسة,القلعة الصغرى,2016,SQL Results
11,7126000,13,سوسة,القلعة الكبرى,2016,SQL Results
21,1399000,25,القيروان,القيروان الجنوبية,2016,SQL Results
32,688588000,225,القيروان,القيروان الشما لية,2016,SQL Results
20,9686286,30,الكاف,الكاف الشرقية,2016,SQL Results
8,356525,10,الكاف,الكاف الغربية,2016,SQL Results
11,17151000,13,سليانة,الكريب,2016,SQL Results
6,490093,7,قفصة,المتلوي,2016,SQL Results
12,1809307,13,صفاقس,المحرس,2016,SQL Results
1,72900,1,بن عروس,المحمدية,2016,SQL Results
18,2538184,19,سيدي بوزيد,المزونة,2016,SQL Results
7,3572544,11,قابس,المطوية,2016,SQL Results
27,4099464,27,سيدي بوزيد,المكناسي,2016,SQL Results
19,29943300,28,المنستير,المكنين,2016,SQL Results
1,33600,1,تــونس,المنزه,2016,SQL Results
28,8891100,18,المنستير,المنستير,2016,SQL Results
19,8017000,71,المهدية,المهدية,2016,SQL Results
6,289397,6,نابل,الميدة,2016,SQL Results
2,81527,3,زغوان,الناظور,2016,SQL Results
5,288000,5,سوسة,النفيضة,2016,SQL Results
20,93004352,37,نابل,الهوارية,2016,SQL Results
3,117300,2,المنستير,الوردانين,2016,SQL Results
2,195000,3,القيروان,الوسلاتية,2016,SQL Results
54,6975796,63,سيدي بوزيد,بئر الحفي,2016,SQL Results
20,31856529,55,صفاقس,بئر علي بن خليفة,2016,SQL Results
2,93703,3,زغوان,بئر مشارقة,2016,SQL Results
9,640156,9,باجة,باجة الجنوبية,2016,SQL Results
11,5245220,17,باجة,باجة الشما لية,2016,SQL Results
30,40420305,63,منــوبة,برج العامري,2016,SQL Results
3,230000,3,سليانة,برقو,2016,SQL Results
8,808398,46,قفصة,بلخير,2016,SQL Results
15,1377812,15,جندوبة,بلطة بوعوان,2016,SQL Results
34,2654284,42,مدنين,بن قردان,2016,SQL Results
7,342500,7,المنستير,بنبلة,2016,SQL Results
18,1909000,20,بنزرت,بنزرت الجنوبية,2016,SQL Results
2,88000,2,بنزرت,بنزرت الشما لية,2016,SQL Results
15,6486400,42,المنستير,بني حسان,2016,SQL Results
7,459968,7,مدنين,بني خداش,2016,SQL Results
10,801686,14,نابل,بني خلاد,2016,SQL Results
14,993133,30,نابل,بني خيار,2016,SQL Results
3,266000,3,المهدية,بو مرداس,2016,SQL Results
39,8017650,40,جندوبة,بوسا لم,2016,SQL Results
6,4372000,15,سليانة,بوعرادة,2016,SQL Results
10,2438785,2,نابل,بوعرقوب,2016,SQL Results
6,753500,8,سوسة,بوفيشة,2016,SQL Results
4,371500,5,بن عروس,بومهل البساتين,2016,SQL Results
13,704281,15,القصرين,تا لة,2016,SQL Results
17,605898,17,الكاف,تاجروين,2016,SQL Results
20,2597213,28,نابل,تاكلسة,2016,SQL Results
11,2550867,16,باجة,تبرسق,2016,SQL Results
22,3137376,25,باجة,تستور,2016,SQL Results
2,180037,4,تطاوين,تطاوين الجنوبية,2016,SQL Results
26,3643961,40,تطاوين,تطاوين الشما لية,2016,SQL Results
2,86837,2,توزر,تمغزة,2016,SQL Results
17,1451892,45,توزر,توزر,2016,SQL Results
1,57000,1,تــونس,تونس المدينة,2016,SQL Results
1,103716,1,باجة,تيبار,2016,SQL Results
2,366000,10,بنزرت,تينجة,2016,SQL Results
15,700786,15,صفاقس,جبنيانة,2016,SQL Results
8,515212,9,القصرين,جدليان,2016,SQL Results
37,3593543,72,مدنين,جرجيس,2016,SQL Results
5,873000,15,بنزرت,جرزونة,2016,SQL Results
26,2812296,30,سيدي بوزيد,جلمة,2016,SQL Results
9,1392400,7,المنستير,جمال,2016,SQL Results
30,6286156,46,جندوبة,جندوبة,2016,SQL Results
21,26425200,30,جندوبة,جندوبة الشما لية,2016,SQL Results
10,1120000,12,بنزرت,جومين,2016,SQL Results
17,1237000,19,القيروان,حاجب العيون,2016,SQL Results
21,1340859,24,القصرين,حاسي الفريد,2016,SQL Results
13,866000,14,القيروان,حفوز,2016,SQL Results
11,614400,11,تــونس,حلق الوادي,2016,SQL Results
1,68434,1,نابل,حمام الغزاز,2016,SQL Results
4,26400000,23,سوسة,حمام سوسة,2016,SQL Results
12,970318,26,مدنين,حومة السوق,2016,SQL Results
6,2730000,13,تــونس,حي الخضراء,2016,SQL Results
2,122600,2,القصرين,حيدرة,2016,SQL Results
7,827960,8,نابل,دار شعبان الفهري,2016,SQL Results
8,603601,8,توزر,دقاش,2016,SQL Results
