nbr_adi,mt_investissement_declaree,gouvernorat,delegation,secteur_activite,feuille
31,3667100.0,تطاوين,رمادة,الفلاحي,SQL Results
8,7915000.0,المهدية,المهدية,التحويل الأولي,SQL Results
10,1054391.0,نابل,الميدة,الفلاحي,SQL Results
8,767581.0,المهدية,هبيرة,الخدمات,SQL Results
26,6476712.0,منــوبة,البطان,الفلاحي,SQL Results
36,10069301.0,سيدي بوزيد,المكناسي,الفلاحي,SQL Results
8,938500.0,مدنين,ميدون,الفلاحي,SQL Results
15,1215759.0,القيروان,الشبيكة,الخدمات,SQL Results
15,1099090.0,قفصة,القطار,الفلاحي,SQL Results
23,3924304.0,الكاف,القصور,الفلاحي,SQL Results
23,1585619.0,قابس,قابس المدينة,الصيد البحري,SQL Results
19,9391514.0,بنزرت,جرزونة,الصيد البحري,SQL Results
1,217000.0,سيدي بوزيد,أولاد حفوز,التحويل الأولي,SQL Results
13,1082882.0,تــونس,الكرم,الخدمات,SQL Results
7,522128.0,مدنين,حومة السوق,الصيد البحري,SQL Results
6,1719501.0,منــوبة,واد الليل,الفلاحي,SQL Results
9,1018913.0,صفاقس,العامرة,الخدمات,SQL Results
18,2005508.0,قفصة,القصر,الفلاحي,SQL Results
6,762019.0,نابل,قليبية,الخدمات,SQL Results
11,1336526.0,صفاقس,جبنيانة,الفلاحي,SQL Results
6,2719775.0,بنزرت,غار الملح,الصيد البحري,SQL Results
21,6021300.0,المنستير,طبلبة,الصيد البحري,SQL Results
28,7177636.0,باجة,تبرسق,الفلاحي,SQL Results
8,549357.0,صفاقس,ساقية الدائر,الخدمات,SQL Results
51,5775010.0,قابس,منزل الحبيب,الفلاحي,SQL Results
12,2186428.0,مدنين,بن قردان,الخدمات,SQL Results
11,842000.0,المهدية,الشابة,الخدمات,SQL Results
1,70500.0,سوسة,سوسة المدينة,الخدمات,SQL Results
20,1626465.0,جندوبة,جندوبة الشما لية,الفلاحي,SQL Results
9,5476024.0,سليانة,العروسة,الفلاحي,SQL Results
4,23015000.0,صفاقس,منزل شاكر,التحويل الأولي,SQL Results
3,272061.0,تــونس,قرطاج,الخدمات,SQL Results
6,398116.0,القيروان,العلا,الفلاحي,SQL Results
5,338239.0,باجة,نفزة,الخدمات,SQL Results
1,2740000.0,بن عروس,بن عروس,التحويل الأولي,SQL Results
9,3143027.0,نابل,نابل,الفلاحي,SQL Results
7,995407.0,سليانة,سليانة الشما لية,الخدمات,SQL Results
1,30980.0,قابس,مطماطة,الخدمات,SQL Results
7,553877.0,سوسة,سيدي الهاني,الفلاحي,SQL Results
2,1422000.0,سليانة,الكريب,التحويل الأولي,SQL Results
1,112098.0,القصرين,سبيبة,الخدمات,SQL Results
3,131880.0,قبلي,قبلي الشما لية,الفلاحي,SQL Results
2,1250609.0,نابل,منزل تميم,الخدمات,SQL Results
4,888526.0,توزر,حزوة,الفلاحي,SQL Results
5,1579934.0,توزر,توزر,التحويل الأولي,SQL Results
2,436408.0,نابل,قرمبا لية,الخدمات,SQL Results
2,113760.0,القيروان,منزل المهيري,الخدمات,SQL Results
6,538126.0,مدنين,جرجيس,الخدمات,SQL Results
6,727000.0,المهدية,بو مرداس,الفلاحي,SQL Results
3,1158520.0,نابل,سليمان,الخدمات,SQL Results
2,116300.0,المنستير,الوردانين,الفلاحي,SQL Results
5,374156.0,سيدي بوزيد,بئر الحفي,الخدمات,SQL Results
3,293983.0,تــونس,الزهور,الخدمات,SQL Results
5,4635395.0,بن عروس,فوشانة,التحويل الأولي,SQL Results
3,114195.0,القيروان,الوسلاتية,الخدمات,SQL Results
3,114673.0,تــونس,باردو,الخدمات,SQL Results
1,31997.0,تــونس,حي الخضراء,الخدمات,SQL Results
2,1350000.0,زغوان,الناظور,التحويل الأولي,SQL Results
1,34881.0,قابس,مارث,تربية الأحياء المائية,SQL Results
1,79295.0,سوسة,سيدي عبد الحميد,الخدمات,SQL Results
1,40462.0,نابل,بني خلاد,الخدمات,SQL Results
1,180000.0,سيدي بوزيد,الرقاب,التحويل الأولي,SQL Results
1,8044351.0,القيروان,القيروان الشما لية,التحويل الأولي,SQL Results
34,3967033.0,القصرين,حاسي الفريد,الفلاحي,SQL Results
22,2007500.0,المهدية,المهدية,الخدمات,SQL Results
12,1025707.0,سيدي بوزيد,سيدي بوزيد الغربية,الخدمات,SQL Results
11,2439000.0,المهدية,شربان,الخدمات,SQL Results
32,2106130.0,صفاقس,قرقنة,الخدمات,SQL Results
64,2724743.0,توزر,توزر,الفلاحي,SQL Results
40,6094538.0,القيروان,الشبيكة,الفلاحي,SQL Results
43,5444232.0,القيروان,سيدي عمر بوحجلة,الفلاحي,SQL Results
2,313000.0,باجة,قبلاط,الخدمات,SQL Results
9,1813583.0,قبلي,الفوار,الفلاحي,SQL Results
7,619927.0,قابس,منزل الحبيب,الخدمات,SQL Results
