annee,gouvernorat,effectif_menages_communal,effectif_menages_non_communal,menages_communal_branches,menages_non_communal_branches,taux_branchement_comm,taux_branchement_non_comm,feuille
2021,Kairouan,56.17853346128768,97.93029535938949,55.865,31.229,0.9944189810240645,0.3188900828430492,Feuil1
2021,Kasserine,52.70530513014914,60.77304271035992,51.611,7.05,0.9792372868832294,0.1160053814254423,Feuil1
2021,Sidi Bouzid,31.119717737714694,77.98318680553083,31.097933935298293,24.115,0.9993,0.3092333230768876,Feuil1
2021,Centre Ouest,140.0035563291515,236.68652487528024,138.5739339352983,62.39399999999999,0.9897886708642448,0.2636145003729212,Feuil1
2021,Sousse,164.04333496776567,32.206515485803244,163.8136742988108,25.132,0.9986,0.780338997277687,Feuil1
2021,Monastir,148.71752484050626,0.0,148.64167890283775,,0.999490000000001,,Feuil1
2021,Mahdia,58.029352452349215,59.16963615454582,57.998596895549476,39.152,0.9994700000000001,0.6616907343783298,Feuil1
2021,Sfax,172.84910555770475,89.35355800634632,172.75922402281475,51.798,0.99948,0.5796971173360669,Feuil1
2021,Centre Est,543.6393178183258,180.72970964669537,543.2131741200128,116.08200000000001,0.999216127891516,0.6422961682776241,Feuil1
2021,Gafsa,67.9112941638761,20.61371028395043,67.612,6.23,0.9955928661416189,0.302226038601629,Feuil1
2021,Tozeur,20.939630437766898,8.009739687063592,20.92874182993927,7.369,0.9994800000000005,0.9200049299856224,Feuil1
2021,Kebili,21.342440675642557,18.20632107018087,21.331342606491237,17.368830300952546,0.9994800000000007,0.9539999999999996,Feuil1
2021,Sud Ouest,110.19336527728555,46.82977104119489,109.8720844364305,30.967830300952546,0.997084390334694,0.6612851101430963,Feuil1
2021,Gabes,71.57705819035843,25.35268894684663,71.53840657893565,19.454,0.9994600000000002,0.7673347801799814,Feuil1
2021,Medenine,110.36613008695986,27.159035705985698,110.125,16.83860213771113,0.9978151803749042,0.62,Feuil1
2021,Tataouine,20.529540571340615,11.40095831235152,20.488481490197913,9.248,0.997999999999999,0.811159882058418,Feuil1
2021,Sud Est,202.4727288486589,63.91268296518385,202.15188806913358,45.540602137711126,0.9984153876852959,0.7125440526807358,Feuil1
2021,Total,2188.7885233587767,935.5812988206917,2184.9666600494343,468.78625457149195,0.9982538910138848,0.5010641567573028,Feuil1
2022,Tunis,312.7739298047537,,312.60815962195716,,0.9994699999999999,,Feuil1
2022,Ariana,172.83860431046887,22.615075986651203,172.7003334270205,21.393861883372036,0.9992,0.946,Feuil1
2022,Ben Arous,192.79529417676235,18.41275923230458,192.69696857673222,15.063478327948385,0.9994900000000001,0.8181000000000004,Feuil1
2022,Manouba,89.50531421438751,26.134102302278244,89.45877145099603,20.77661133031121,0.9994799999999999,0.7950000000000002,Feuil1
2022,Grand Tunis,767.9131425063724,67.16193752123402,767.4642330767058,57.233951541631626,0.9994154163995664,0.852178386359632,Feuil1
2022,Nabeul,166.54389968845732,75.07447743339873,166.45491587557646,44.13002006086506,0.9994657035589577,0.5878165465755574,Feuil1
2022,Zaghouan,22.842730066967388,27.38648981142037,22.81586550432023,12.895322254939773,0.998823933804392,0.4708643693929087,Feuil1
