annee,gouvernorat,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13
2023.0,Monastir,1453.051,1258.772,1349.914,1544.004,1591.21,1735.2,2046.099,2035.716,1852.071,1688.016,1479.014,1201.567,Feuil1,,,,,,,,,,,,,
2023.0,Mahdia,1659.337,1325.513,1621.693,1886.925,1863.868,2120.297,2569.456,2602.748,2305.634,2129.432,2115.258,2196.655,Feuil1,,,,,,,,,,,,,
2023.0,Kairouan,1795.622,1709.326,1801.124,1856.974,2056.089,2136.897,2295.834,2306.509,2240.938,1624.587,1464.321,1414.522,Feuil1,,,,,,,,,,,,,
2023.0,Kasserine,976.654,943.218,1125.963,1195.231,1203.564,1258.913,1265.987,1255.314,1125.369,896.587,800.235,854.215,Feuil1,,,,,,,,,,,,,
2023.0,Grand Sfax,5542.666,4789.008,5479.912,5465.968,5587.365,5465.548,5479.259,5526.589,5248.531,5263.867,5123.203,5186.996,Feuil1,,,,,,,,,,,,,
2023.0,Gafsa,1506.51,1477.116,1561.412,1615.894,1635.122,1673.896,2705.32,2663.02,2452.46,2213.7,1956.14,1767.2,Feuil1,,,,,,,,,,,,,
2023.0,Tozeur,551.21,487.032,560.495,567.532,650.01,681.281,761.5,790.12,746.18,656.427,608.489,565.024,Feuil1,,,,,,,,,,,,,
2023.0,Sidi Bouzid,1352.124,1209.964,1381.076,1289.69,1323.016,1353.541,1373.588,1537.77,1478.68,1440.359,1363.367,1336.075,Feuil1,,,,,,,,,,,,,
2023.0,Gabes,2851.04,2688.2,2824.63,2743.043,2714.579,2673.481,2984.809,2929.143,2783.252,2927.302,2990.899,2764.177,Feuil1,,,,,,,,,,,,,
2023.0,Kebili,789.516,721.557,814.681,844.3,901.874,930.604,963.057,959.341,935.714,912.994,843.167,833.363,Feuil1,,,,,,,,,,,,,
2023.0,Medenine,1991.995,2021.75,2083.01,2028.514839,2141.665,2124.419,2147.482,2125.652,2079.539,2112.1773869999997,2093.0623869999995,2014.7333869999993,Feuil1,,,,,,,,,,,,,
2023.0,Jerba,1588.073,1332.026,1833.684,1940.227,1988.314,2192.578,2284.938,2264.187,2218.345,2228.462,1929.435,1823.244,Feuil1,,,,,,,,,,,,,
2023.0,Tataouine,935.661,861.133,912.017,941.281,1002.884,1013.187,1012.513,1078.529,979.007,981.792,1031.078,1053.388,Feuil1,,,,,,,,,,,,,
2023.0,Coefficient de pointe mensuelle,0.784357216002346,0.7059152184953926,0.7847484638494745,0.8286083701850959,0.8800214687065238,0.9238564355146204,0.9728680951965452,1.0,0.9160907091755872,0.8706315979578011,0.8243208429147739,0.8101640203618926,Feuil1,,,,,,,,,,,,,
2024.0,Bizerte,1554.678,1505.58,1634.973,1663.429,1789.552,1874.058,2060.791,2039.868,1980.441,1579.34,1510.77,1570.58,Feuil1,,,,,,,,,,,,,
2024.0,Ml Bourguiba,659.364,669.319,682.518,691.463,687.354,701.344,838.856,848.611,812.875,781.348,696.589,673.339,Feuil1,,,,,,,,,,,,,
2024.0,Jendouba,1073.837,1046.835,1108.747,1166.742,1238.339,1357.301,1831.135,1856.568,1762.943,1578.435,1381.638,1341.052,Feuil1,,,,,,,,,,,,,
2024.0,Le Kef,616.877,589.739,643.732,661.295,694.764,753.758,808.634,810.589,798.714,791.96,737.476,737.998,Feuil1,,,,,,,,,,,,,
2024.0,Siliana,655.68,611.072,667.467,666.321,743.422,774.259,778.59,747.2,711.95,630.0,603.84,570.0,Feuil1,,,,,,,,,,,,,
2024.0,Beja,919.849,868.158,1026.915,987.257,1134.959,1398.186,1378.984,1403.301,1331.215,753.918,750.648,774.286,Feuil1,,,,,,,,,,,,,
2024.0,Nabeul,1606.74,1438.195,1717.722,1778.558,2002.52,2161.06,2390.142,2486.817,2184.871,2051.79,1831.87,1862.55,Feuil1,,,,,,,,,,,,,
2024.0,Ml Temime,635.464,584.113,640.628,763.719,800.59,852.046,895.009,906.426,870.265,720.599,697.203,706.001,Feuil1,,,,,,,,,,,,,
2024.0,Grombalia,930.555,878.196,1003.089,953.165,967.234,1024.972,1172.571,1259.982,1096.814,1084.807,1025.874,1002.74,Feuil1,,,,,,,,,,,,,
2024.0,Zaghouan,630.1,639.6,644.3,759.55,813.35,869.4,887.2,896.1,887.6,811.4,807.4,760.04,Feuil1,,,,,,,,,,,,,
2024.0,Grand Sousse,3537.0,3147.0,3379.0,3335.0,3432.0,3560.0,3783.0,4211.0,4395.0,4241.0,4053.0,4028.0,Feuil1,,,,,,,,,,,,,
2024.0,Moknine,900.0,777.0,944.0,1193.0,1210.0,1251.0,1206.0,1232.0,1134.0,1142.0,1092.0,1069.0,Feuil1,,,,,,,,,,,,,
2024.0,Monastir,1342.0,1227.0,1632.0,1632.0,1722.0,1931.0,1970.0,1987.0,2068.0,1843.0,1831.0,1292.0,Feuil1,,,,,,,,,,,,,
2024.0,Mahdia,1870.637,1613.574,1799.089,2048.397,2445.183,2581.766,2750.155,2894.027,2374.894,2231.604,1967.08,2021.343,Feuil1,,,,,,,,,,,,,
