الاسطول_و_اليد_العاملة_بقطاع_الصيد_البحري,unnamed_1,unnamed_2,unnamed_3,unnamed_4,feuille,unnamed_6,unnamed_0,الــولايـــــة,مركب_صيد_ساحلي_مجهز_بمحرك,مركب_صيد_ساحلي_غير_مجهز_بمحرك,وحدات_صيد_بالجر,السمك_الازرق,وحدات_صيد_التن,تربية_احياء_مايية,سدود
الــمــجـــمـــــــــــــــوع,,1560.0,,6240.0,FLO-POP-MAH017,,,,,,,,,,
بولاية صـــفـــاقـــس لسنة 2017,,,,,FLO-POP-SFA2017,,,,,,,,,,
الأسطول,,,,,FLO-POP-SFA2017,,الميناء,,,,,,,,
نوع المركب,,,,,FLO-POP-SFA2017,,,,,,,,,,
مراكب صيد ساحلي مجهزة بمحرك,,320.0,20.0,1440.0,FLO-POP-SFA2017,,صــفـــاقس,,,,,,,,
مراكب صيد ساحلي بدون محرك,,100.0,15.0,120.0,FLO-POP-SFA2017,,,,,,,,,,
وحدات الصيد بالجر,,235.0,8.0,2820.0,FLO-POP-SFA2017,,,,,,,,,,
وحدات صيد السمك الأزرق,,11.0,4.0,88.0,FLO-POP-SFA2017,,,,,,,,,,
وحدات صيد التــن,,21.0,3.0,336.0,FLO-POP-SFA2017,,,,,,,,,,
مراكب صيد ساحلي مجهزة بمحرك,,174.0,5.0,783.0,FLO-POP-SFA2017,,العطايا,,,,,,,,
مراكب صيد ساحلي بدون محرك,,342.0,30.0,410.0,FLO-POP-SFA2017,,,,,,,,,,
مراكب صيد ساحلي مجهزة بمحرك,,162.0,18.0,729.0,FLO-POP-SFA2017,,القراطن,,,,,,,,
مراكب صيد ساحلي بدون محرك,,340.0,29.0,408.0,FLO-POP-SFA2017,,,,,,,,,,
مراكب صيد ساحلي مجهزة بمحرك,,584.0,20.0,2628.0,FLO-POP-SFA2017,,مليتة,,,,,,,,
مراكب صيد ساحلي بدون محرك,,498.0,70.0,598.0,FLO-POP-SFA2017,,,,,,,,,,
مراكب صيد ساحلي مجهزة بمحرك,,44.0,4.0,198.0,FLO-POP-SFA2017,,المحرس,,,,,,,,
مراكب صيد ساحلي بدون محرك,,166.0,13.0,199.0,FLO-POP-SFA2017,,,,,,,,,,
وحدات صيد السمك الأزرق,,6.0,1.0,48.0,FLO-POP-SFA2017,,,,,,,,,,
مراكب صيد ساحلي مجهزة بمحرك,,257.0,5.0,1157.0,FLO-POP-SFA2017,,اللوزة,,,,,,,,
مراكب صيد ساحلي بدون محرك,,116.0,4.0,139.0,FLO-POP-SFA2017,,,,,,,,,,
مراكب صيد ساحلي مجهزة بمحرك,,180.0,10.0,810.0,FLO-POP-SFA2017,,سيدي منصـــور,,,,,,,,
مراكب صيد ساحلي بدون محرك,,100.0,8.0,120.0,FLO-POP-SFA2017,,,,,,,,,,
مراكب صيد ساحلي مجهزة بمحرك,,33.0,4.0,149.0,FLO-POP-SFA2017,,الصــخـيـــرة,,,,,,,,
مراكب صيد ساحلي بدون محرك,,15.0,4.0,18.0,FLO-POP-SFA2017,,,,,,,,,,
وحدات صيد السمك الأزرق,,2.0,0.0,16.0,FLO-POP-SFA2017,,,,,,,,,,
مراكب صيد ساحلي مجهزة بمحرك,,45.0,1.0,203.0,FLO-POP-SFA2017,,الــعــــوابد,,,,,,,,
مراكب صيد ساحلي بدون محرك,,190.0,10.0,228.0,FLO-POP-SFA2017,,,,,,,,,,
مراكب صيد ساحلي مجهزة بمحرك,,32.0,0.0,144.0,FLO-POP-SFA2017,,زبوسة,,,,,,,,
مراكب صيد ساحلي بدون محرك,,28.0,1.0,34.0,FLO-POP-SFA2017,,,,,,,,,,
وحدات صيد السمك الأزرق,,0.0,0.0,0.0,FLO-POP-SFA2017,,,,,,,,,,
مراكب صيد ساحلي مجهزة بمحرك,,1831.0,87.0,8241.0,FLO-POP-SFA2017,,المجموع,,,,,,,,
مراكب صيد ساحلي بدون محرك,,1895.0,184.0,2274.0,FLO-POP-SFA2017,,,,,,,,,,
وحدات صيد السمك الأزرق,,19.0,5.0,152.0,FLO-POP-SFA2017,,,,,,,,,,
وحدات صــيد التــن,,21.0,3.0,336.0,FLO-POP-SFA2017,,,,,,,,,,
صيد على الأقدام,,,,1476.0,FLO-POP-SFA2017,,,,,,,,,,
,,4001.0,287.0,15299.0,FLO-POP-SFA2017,,المجموع,,,,,,,,
بولاية قــــــابـــس لسنة 2017,,,,,FLO-POP-GAB017,,,,,,,,,,
,,,,,FLO-POP-GAB017,,,,,,,,,,
الميناء,الأسطول,,,,FLO-POP-GAB017,,,,,,,,,,
,نوع المركب,,,,FLO-POP-GAB017,,,,,,,,,,
قــــــابس,مراكب صيد ساحلي مجهزة بمحرك,107.0,9.0,496.0,FLO-POP-GAB017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,28.0,9.0,272.0,FLO-POP-GAB017,,,,,,,,,,
,وحدات صيد السمك الأزرق,47.0,5.0,705.0,FLO-POP-GAB017,,,,,,,,,,
غـــنــــــــــوش,مراكب صيد ساحلي مجهزة بمحرك,63.0,0.0,126.0,FLO-POP-GAB017,,,,,,,,,,
