date,gouvernorat,type_peche,main_œuvre,feuille
2019,الـــــكـــاف,صيد بالجر,,Feuil1
2019,الـــــكـــاف,صيد السمك الأزرق,,Feuil1
2019,الـــــكـــاف,صيد التن,,Feuil1
2019,الـــــكـــاف,تربية أحياء مائية,44.0,Feuil1
2019,الـــــكـــاف,صيدعلى الأقدام,,Feuil1
2019,ســـليـــــانة,صيد ساحلي,,Feuil1
2019,ســـليـــــانة,صيد بالجر,,Feuil1
2019,ســـليـــــانة,صيد السمك الأزرق,,Feuil1
2019,ســـليـــــانة,صيد التن,,Feuil1
2019,ســـليـــــانة,تربية أحياء مائية,12.0,Feuil1
2019,ســـليـــــانة,صيدعلى الأقدام,,Feuil1
2019,زغــــوان,صيد ساحلي,,Feuil1
2019,زغــــوان,صيد بالجر,,Feuil1
2019,زغــــوان,صيد السمك الأزرق,,Feuil1
2019,زغــــوان,صيد التن,,Feuil1
2019,زغــــوان,تربية أحياء مائية,8.0,Feuil1
2019,زغــــوان,صيدعلى الأقدام,,Feuil1
2019,الـــقــيروان,صيد ساحلي,,Feuil1
2019,الـــقــيروان,صيد بالجر,,Feuil1
2019,الـــقــيروان,صيد السمك الأزرق,,Feuil1
2019,الـــقــيروان,صيد التن,,Feuil1
2019,الـــقــيروان,تربية أحياء مائية,6.0,Feuil1
2019,الـــقــيروان,صيدعلى الأقدام,,Feuil1
2020,جــنــدوبــة و بــــــــاجة,صيد ساحلي,544.0,Feuil1
2020,جــنــدوبــة و بــــــــاجة,صيد بالجر,90.0,Feuil1
2020,جــنــدوبــة و بــــــــاجة,صيد السمك الأزرق,36.0,Feuil1
2020,جــنــدوبــة و بــــــــاجة,صيد التن,0.0,Feuil1
2020,جــنــدوبــة و بــــــــاجة,تربية أحياء مائية,200.0,Feuil1
2020,جــنــدوبــة و بــــــــاجة,صيدعلى الأقدام,0.0,Feuil1
2020,بــــنـــــزرت,صيد ساحلي,4155.0,Feuil1
2020,بــــنـــــزرت,صيد بالجر,288.0,Feuil1
2020,بــــنـــــزرت,صيد السمك الأزرق,585.0,Feuil1
2020,بــــنـــــزرت,صيد التن,0.0,Feuil1
2020,بــــنـــــزرت,تربية أحياء مائية,24.0,Feuil1
2020,بــــنـــــزرت,صيدعلى الأقدام,0.0,Feuil1
2020,أريـــــــــانة,صيد ساحلي,1080.0,Feuil1
2020,أريـــــــــانة,صيد بالجر,0.0,Feuil1
