date,nom_ar,nom_fr,unite,valeur
2026-04-01 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-01 09:00:00,Température,Température,°C,15.0
2026-04-01 07:00:00,L'humidité du sol,L'humidité du sol,mV,552.7
2026-04-01 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-01 07:00:00,Température,Température,°C,15.2
2026-04-01 05:00:00,L'humidité du sol,L'humidité du sol,mV,552.5
2026-04-01 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-01 05:00:00,Température,Température,°C,15.3
2026-04-01 03:00:00,L'humidité du sol,L'humidité du sol,mV,552.1
2026-04-01 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-01 03:00:00,Température,Température,°C,15.5
2026-04-01 01:00:00,L'humidité du sol,L'humidité du sol,mV,552.2
2026-04-01 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-01 01:00:00,Température,Température,°C,15.7
2026-03-31 23:00:00,L'humidité du sol,L'humidité du sol,mV,551.8
2026-03-31 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-31 23:00:00,Température,Température,°C,15.8
2026-03-31 21:00:00,L'humidité du sol,L'humidité du sol,mV,551.8
2026-03-31 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-31 21:00:00,Température,Température,°C,15.9
2026-03-31 19:00:00,L'humidité du sol,L'humidité du sol,mV,551.8
2026-03-31 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-31 19:00:00,Température,Température,°C,15.8
2026-03-31 17:00:00,L'humidité du sol,L'humidité du sol,mV,551.8
2026-03-31 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-31 17:00:00,Température,Température,°C,15.7
2026-03-31 15:00:00,L'humidité du sol,L'humidité du sol,mV,551.4
